,headline,datetime,neg,neu,pos,sentiment_score
51,Energy Suppliers Are Racing to Keep Up with the Data-Driven Energy Surge,2024-03-20 09:07:00,0.0,0.704,0.296,0.4939
52,Microsoft hires influential AI figure Mustafa Suleyman to head up consumer AI business,2024-03-20 07:25:00,0.0,0.805,0.195,0.4404
53,Ozempic profits are helping fund a new Nvidia-powered AI supercomputer,2024-03-20 07:16:00,0.0,0.579,0.421,0.6249
54,"Bitcoins Slump Is the First Test for ETF Enthusiasm, Whats Next for Cryptos. And 5 Other Things to Know Before Markets Open.",2024-03-20 07:15:00,0.0,0.873,0.127,0.4404
55,Microsoft's AI Security Bombshell: Is Copilot a $20B Game-Changer for MSFT Stock?,2024-03-20 06:25:00,0.0,0.806,0.194,0.34
56,3 Dow Dividend Stocks That Could Continue Crushing The S&P 500 In 2024,2024-03-20 06:15:00,0.185,0.815,0.0,-0.3612
57,"This Artificial Intelligence Giant Could Be the Next to Join the ""Magnificent Seven""",2024-03-20 06:00:00,0.0,0.521,0.479,0.8481
58,"Nvidia Stock Soared 239% in 2023, and 1 Wall Street Analyst Says It Could Rise Another 60% This Year",2024-03-20 06:00:00,0.0,1.0,0.0,0.0
59,White House awards Intel $8.5 billion in CHIPS Act funding,2024-03-20 05:00:00,0.0,0.75,0.25,0.4588
60,Inflection AI plans pivot after most employees go to Microsoft,2024-03-20 04:59:00,0.0,1.0,0.0,0.0
61,Microsoft hires Inflection founders to run new consumer AI division,2024-03-20 02:38:00,0.0,1.0,0.0,0.0
62,Apple-Google Gemini Partnership Could Make an Unstoppable AI Force,2024-03-19 21:46:00,0.184,0.816,0.0,-0.2023
63,Microsoft Hires DeepMind Co-Founder Suleyman to Run Consumer AI,2024-03-19 19:21:00,0.0,1.0,0.0,0.0
64,Why Microsofts surprise deal with $4 billion startup Inflection is the most important non-acquisition in AI,2024-03-19 18:06:00,0.0,0.77,0.23,0.4927
65,Why Microsoft (MSFT) Outpaced the Stock Market Today,2024-03-19 17:45:00,0.0,1.0,0.0,0.0
66,Inflection AI Plans Pivot After Most Employees Go to Microsoft,2024-03-19 17:44:00,0.0,1.0,0.0,0.0
67,Microsoft Hires DeepMind Co-founder to Lead Consumer AI Unit,2024-03-19 17:01:00,0.0,1.0,0.0,0.0
